"","cr","dep","yymmdd1","yymmdd2","Lat2","Lat2.1","Long1","Long2","M_avg","C_avg","N_avg","P_avg"
"937",10314,300,20150511,20150515,31.639,30.826,64.147,64.339,60.79,11.12,4.06,0.0015
"938",10315,150,20150623,20150626,31.665,31.619,64.17,64.123,95.92,35.97,6.6,0.0042
"939",10315,200,20150623,20150626,31.665,31.619,64.17,64.123,60.34,12.5,1.87,0.0019
"940",10315,300,20150623,20150626,31.665,31.619,64.17,64.123,64.9,7.54,1.31,0.0014
"941",10316,150,20150715,20150718,31.654,31.424,64.159,64.222,82.1,21.49,3.17,0.0024
"942",10316,200,20150715,20150718,31.654,31.424,64.159,64.222,88.91,19.92,2.44,0.0014
"943",10316,300,20150715,20150718,31.654,31.424,64.159,64.222,83.72,17.88,2.04,0.0019
"944",10317,150,20150818,20150822,31.668,31.481,64.17,63.695,97.75,26.37,3.33,0.0023
"945",10317,200,20150818,20150822,31.668,31.481,64.17,63.695,62.59,14.7,1.71,0.002
"946",10317,300,20150818,20150822,31.668,31.481,64.17,63.695,72.42,15.13,1.58,0.0015
"947",10318,150,20150912,20150914,31.661,31.587,64.163,63.88,78.7,23.15,3.05,0.0014
"948",10318,200,20150912,20150914,31.661,31.587,64.163,63.88,73.95,15.64,1.6,7e-04
"949",10318,300,20150912,20150914,31.661,31.587,64.163,63.88,55.24,12.35,1.02,9e-04
"950",10319,150,20151128,20151130,31.662,31.34,64.165,63.859,97.72,29.12,4.52,9e-04
"951",10319,200,20151128,20151130,31.662,31.34,64.165,63.859,87.33,23.62,2.81,7e-04
"952",10319,300,20151128,20151130,31.662,31.34,64.165,63.859,51.58,13.8,1.61,5e-04
"953",10320,150,20151211,20151214,31.667,31.569,64.158,63.756,41.82,12.64,2.4,6e-04
